"disease","disease_hmdad_author_svd64_000","disease_hmdad_author_svd64_001","disease_hmdad_author_svd64_002","disease_hmdad_author_svd64_003","disease_hmdad_author_svd64_004","disease_hmdad_author_svd64_005","disease_hmdad_author_svd64_006","disease_hmdad_author_svd64_007","disease_hmdad_author_svd64_008","disease_hmdad_author_svd64_009","disease_hmdad_author_svd64_010","disease_hmdad_author_svd64_011","disease_hmdad_author_svd64_012","disease_hmdad_author_svd64_013","disease_hmdad_author_svd64_014","disease_hmdad_author_svd64_015","disease_hmdad_author_svd64_016","disease_hmdad_author_svd64_017","disease_hmdad_author_svd64_018","disease_hmdad_author_svd64_019","disease_hmdad_author_svd64_020","disease_hmdad_author_svd64_021","disease_hmdad_author_svd64_022","disease_hmdad_author_svd64_023","disease_hmdad_author_svd64_024","disease_hmdad_author_svd64_025","disease_hmdad_author_svd64_026","disease_hmdad_author_svd64_027","disease_hmdad_author_svd64_028","disease_hmdad_author_svd64_029","disease_hmdad_author_svd64_030","disease_hmdad_author_svd64_031","disease_hmdad_author_svd64_032","disease_hmdad_author_svd64_033","disease_hmdad_author_svd64_034","disease_hmdad_author_svd64_035","disease_hmdad_author_svd64_036","disease_hmdad_author_svd64_037","disease_hmdad_author_svd64_038","disease_hmdad_author_svd64_039","disease_hmdad_author_svd64_040","disease_hmdad_author_svd64_041","disease_hmdad_author_svd64_042","disease_hmdad_author_svd64_043","disease_hmdad_author_svd64_044","disease_hmdad_author_svd64_045","disease_hmdad_author_svd64_046","disease_hmdad_author_svd64_047","disease_hmdad_author_svd64_048","disease_hmdad_author_svd64_049","disease_hmdad_author_svd64_050","disease_hmdad_author_svd64_051","disease_hmdad_author_svd64_052","disease_hmdad_author_svd64_053","disease_hmdad_author_svd64_054","disease_hmdad_author_svd64_055","disease_hmdad_author_svd64_056","disease_hmdad_author_svd64_057","disease_hmdad_author_svd64_058","disease_hmdad_author_svd64_059","disease_hmdad_author_svd64_060","disease_hmdad_author_svd64_061","disease_hmdad_author_svd64_062","disease_hmdad_author_svd64_063"
"Adolescent idiopathic scoliosis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Aerobic vaginitis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Aggressive periodontitis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alcoholic Liver Disease","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alcoholic cirrhosis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alcoholic hepatitis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alcoholism","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Allergic asthma","4.5553017","3.0512717","-0.29109624","-0.13882828","-1.1546952","-4.924508","-3.1909947","-6.196581","5.5829525","-6.368583","-0.011202035","-7.7089467","0.47615367","-3.891536","4.268015","5.992273","-5.9710455","0.031323165","-7.9548903","2.8182938","-1.0912081","-4.4600677","2.1265044","-2.9577594","1.4913899","1.1727166","1.9564736","-2.2543411","-0.8468225","3.4086075","0.45294327","8.374045","9.77202","7.623773","10.127676","-2.2853537","2.4834898","-2.9592513e-05","-0.24390085","2.1321664","3.7849796","-4.724824","1.1344099","3.0190806","-3.428803","2.851837","-0.97671443","3.861738","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.37448022","0.0","0.0","0.0","0.0","0.0"
"Allergic rhinoconjunctivitis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Allergic sensitization","3.4418368","11.430307","1.7928616","-0.04469829","2.2185888","0.8844366","2.5500677","1.2127196","2.81213","-0.04753222","-2.7266839","0.6194715","2.1281548","-1.8734782","0.91175854","-1.1680733","1.4989079","2.181297","-0.22799198","1.3509789","-1.7841825","-3.6015165","2.7885764","-1.0714716","0.13275568","0.710708","-2.3593438","4.257715","-1.8973051","-3.0102496","-1.0614725","-6.44557","-7.3331327","3.895867","5.1676693","-1.5015042","-2.6157417","-20.124508","0.07246206","-2.8191888","-0.16050766","0.113930434","-1.3630633","-0.5243979","4.455125","-0.5768728","3.6121662","2.61878","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-3.4247017","0.0","0.0","0.0","0.0","0.0"
"Allergy","5.0793104","4.3864403","-1.2580125","-0.64356583","-1.9767065","-4.0541644","-3.7072954","8.050414","2.9312878","-3.3392944","2.0281434","5.709664","7.1259465","-1.4693071","1.5401348","-3.4949117","-1.1556352","2.1528738","2.167693","3.1033792","-3.4009829","-0.85462874","-0.020844698","1.286439","-0.98476654","-0.26565835","1.8738315","-1.557682","3.4350297","1.2379531","1.271039","2.497423","0.04151476","1.8250853","-3.4990542","18.971067","9.148167","-0.00016480453","-4.214085","-10.449495","-1.9751253","3.6138568","-4.445209","-0.41031274","-2.5960968","2.3915205","-2.7643826","2.2574599","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7944685","0.0","0.0","0.0","0.0","0.0"
"Alopecia areata","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alopecia universalis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alzheimer disease","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alzheimer's Disease","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alzheimer's disease","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Alzheimers disease","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
"Amyotrophic lateral sclerosis","-0.22007634","-0.012736084","-0.030332055","-0.0119885225","-0.017566964","-0.012050644","-0.0032349413","0.008790346","-0.005663294","0.003401166","-0.0016634933","0.0016024841","0.0030496456","-0.006093373","0.001336644","0.0013386973","0.0014833187","-0.0015655878","-0.0011191956","-0.0022812048","0.0032914274","-0.003769479","-0.0010876738","8.700956e-05","-0.00057010935","0.003326504","0.00012283615","0.0024395816","-0.002798829","-0.0001607432","0.0027648855","0.0029609804","-0.0010443438","0.0017620911","-0.00088586373","-0.0009047997","-0.00079564453","2.4461137e-08","0.0010531262","0.028242592","0.03517258","-0.011418279","-0.023639556","-0.12819138","-0.003655476","0.0032118745","0.0018818054","0.00081408414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0024369073","0.0","0.0","0.0","0.0","0.0"
