"microbe","microbe_hmdad_author_svd64_000","microbe_hmdad_author_svd64_001","microbe_hmdad_author_svd64_002","microbe_hmdad_author_svd64_003","microbe_hmdad_author_svd64_004","microbe_hmdad_author_svd64_005","microbe_hmdad_author_svd64_006","microbe_hmdad_author_svd64_007","microbe_hmdad_author_svd64_008","microbe_hmdad_author_svd64_009","microbe_hmdad_author_svd64_010","microbe_hmdad_author_svd64_011","microbe_hmdad_author_svd64_012","microbe_hmdad_author_svd64_013","microbe_hmdad_author_svd64_014","microbe_hmdad_author_svd64_015","microbe_hmdad_author_svd64_016","microbe_hmdad_author_svd64_017","microbe_hmdad_author_svd64_018","microbe_hmdad_author_svd64_019","microbe_hmdad_author_svd64_020","microbe_hmdad_author_svd64_021","microbe_hmdad_author_svd64_022","microbe_hmdad_author_svd64_023","microbe_hmdad_author_svd64_024","microbe_hmdad_author_svd64_025","microbe_hmdad_author_svd64_026","microbe_hmdad_author_svd64_027","microbe_hmdad_author_svd64_028","microbe_hmdad_author_svd64_029","microbe_hmdad_author_svd64_030","microbe_hmdad_author_svd64_031","microbe_hmdad_author_svd64_032","microbe_hmdad_author_svd64_033","microbe_hmdad_author_svd64_034","microbe_hmdad_author_svd64_035","microbe_hmdad_author_svd64_036","microbe_hmdad_author_svd64_037","microbe_hmdad_author_svd64_038","microbe_hmdad_author_svd64_039","microbe_hmdad_author_svd64_040","microbe_hmdad_author_svd64_041","microbe_hmdad_author_svd64_042","microbe_hmdad_author_svd64_043","microbe_hmdad_author_svd64_044","microbe_hmdad_author_svd64_045","microbe_hmdad_author_svd64_046","microbe_hmdad_author_svd64_047","microbe_hmdad_author_svd64_048","microbe_hmdad_author_svd64_049","microbe_hmdad_author_svd64_050","microbe_hmdad_author_svd64_051","microbe_hmdad_author_svd64_052","microbe_hmdad_author_svd64_053","microbe_hmdad_author_svd64_054","microbe_hmdad_author_svd64_055","microbe_hmdad_author_svd64_056","microbe_hmdad_author_svd64_057","microbe_hmdad_author_svd64_058","microbe_hmdad_author_svd64_059","microbe_hmdad_author_svd64_060","microbe_hmdad_author_svd64_061","microbe_hmdad_author_svd64_062","microbe_hmdad_author_svd64_063"
"Acidaminococcaceae","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acidaminococcus","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acidaminococcus fermentans","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acidimicrobiales","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acidiphilium","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Aciditerrimonas","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acidobacteria","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acidobacteriaceae","2.355732","3.1507921","1.0419948","6.4449673","-0.95834064","-4.2726645","-3.2481692","-3.3074214","1.2645907","0.2699123","-1.7265263","-1.5405521","-0.2751186","-0.6898047","1.9278429","-3.549073","3.935217","1.3739698","-1.699687","-1.4766865","-3.1470923","-0.007845249","1.5389241","-2.9561274","0.7422958","-0.52563083","-2.7938256","0.24732381","-4.760659","-0.32644624","-0.44951132","-1.2938917","1.4901198","3.8774202","-1.9185117","-1.6056659","-4.2979856","-1.5859414","0.7556843","0.3991664","1.6846981","0.39073208","-1.1875114","2.1796703","3.7539208","0.24948944","2.855286","0.7056716","-2.1872458","2.8500712","1.2108494","-2.9944403","-0.97671497","-2.4446743","-4.448568","1.5114509","-0.2919694","-2.4737682","0.16262588","1.2051153","-0.760694","0.33407637","1.4952472","-1.1961387"
"Acidocella","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acidovorax","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acinetobacter","2.1814072","1.8360065","-2.1569788","-2.0474982","0.81530344","1.3052152","-2.1780932","-3.7973008","1.8322891","-1.8644866","-0.7505653","0.2569955","-4.639967","1.425393","1.0085586","1.8946793","-4.103848","1.4172525","-5.961638","-8.803816","-5.977113","3.0548213","5.3217382","8.289863","-2.631596","-5.119618","-1.561221","-1.3606745","-1.5120945","0.1726643","-2.0969763","-1.7943093","-2.2219617","1.7605526","-2.7315958","-1.9906764","-3.1639535","3.159131","-0.37783763","3.8494775","2.5901136","1.5225172","0.037291285","2.8678913","1.0848914","-0.34732905","-1.6330765","-0.026816292","-4.064552","-3.7225575","-2.1686463","-3.6384294","1.0319141","-0.30804095","3.2891016","3.5058696","-2.2929761","2.7175374","-2.7104902","-3.292254","-6.4744825","3.1714606","-4.020547","-1.4678327"
"Acinetobacter antiviralis","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acinetobacter baumannii","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
"Acinetobacter calcoaceticus","-0.3739113","0.044093657","-0.05987498","0.021210203","-0.010671483","-0.012037864","0.05995362","0.013329701","-0.007907608","0.008777956","0.007912894","0.020094682","0.011533446","-0.018043036","-0.005356353","0.00093421334","0.0009295466","-0.0034739873","-0.0052656312","0.0020705524","9.263899e-05","0.0008647328","-0.0010649229","-0.00016613583","-0.0020727639","-0.0009075982","-0.00015806657","0.00028025729","6.089424e-05","0.0009363112","0.00022134265","-0.0004145804","0.0002998967","-0.0005800115","-0.0007949219","-0.0006462318","-0.00031242805","0.00040358605","6.285008e-05","-0.0001065693","-1.4381098e-05","0.00032268857","-0.0006781413","0.0005155614","0.00010754536","1.8189854e-05","0.0006434759","0.00016218718","-0.0006604579","5.1493257e-06","0.0009830478","-0.00032286334","0.0005134368","0.00048009973","-0.000583878","-0.00027957352","0.00032066903","-0.00020720236","8.815656e-05","8.660287e-07","-0.0003217382","-0.00015190363","0.00062700134","0.000334446"
