"microbe","microbe_peryton_author_svd64_000","microbe_peryton_author_svd64_001","microbe_peryton_author_svd64_002","microbe_peryton_author_svd64_003","microbe_peryton_author_svd64_004","microbe_peryton_author_svd64_005","microbe_peryton_author_svd64_006","microbe_peryton_author_svd64_007","microbe_peryton_author_svd64_008","microbe_peryton_author_svd64_009","microbe_peryton_author_svd64_010","microbe_peryton_author_svd64_011","microbe_peryton_author_svd64_012","microbe_peryton_author_svd64_013","microbe_peryton_author_svd64_014","microbe_peryton_author_svd64_015","microbe_peryton_author_svd64_016","microbe_peryton_author_svd64_017","microbe_peryton_author_svd64_018","microbe_peryton_author_svd64_019","microbe_peryton_author_svd64_020","microbe_peryton_author_svd64_021","microbe_peryton_author_svd64_022","microbe_peryton_author_svd64_023","microbe_peryton_author_svd64_024","microbe_peryton_author_svd64_025","microbe_peryton_author_svd64_026","microbe_peryton_author_svd64_027","microbe_peryton_author_svd64_028","microbe_peryton_author_svd64_029","microbe_peryton_author_svd64_030","microbe_peryton_author_svd64_031","microbe_peryton_author_svd64_032","microbe_peryton_author_svd64_033","microbe_peryton_author_svd64_034","microbe_peryton_author_svd64_035","microbe_peryton_author_svd64_036","microbe_peryton_author_svd64_037","microbe_peryton_author_svd64_038","microbe_peryton_author_svd64_039","microbe_peryton_author_svd64_040","microbe_peryton_author_svd64_041","microbe_peryton_author_svd64_042","microbe_peryton_author_svd64_043","microbe_peryton_author_svd64_044","microbe_peryton_author_svd64_045","microbe_peryton_author_svd64_046","microbe_peryton_author_svd64_047","microbe_peryton_author_svd64_048","microbe_peryton_author_svd64_049","microbe_peryton_author_svd64_050","microbe_peryton_author_svd64_051","microbe_peryton_author_svd64_052","microbe_peryton_author_svd64_053","microbe_peryton_author_svd64_054","microbe_peryton_author_svd64_055","microbe_peryton_author_svd64_056","microbe_peryton_author_svd64_057","microbe_peryton_author_svd64_058","microbe_peryton_author_svd64_059","microbe_peryton_author_svd64_060","microbe_peryton_author_svd64_061","microbe_peryton_author_svd64_062","microbe_peryton_author_svd64_063"
"Acidaminococcaceae","-0.09216851","1.1657859","-0.27610058","1.3016356","-0.40121317","-0.07954351","-0.6388652","-0.8832372","-0.3944926","-0.025634035","0.76107174","0.10299702","-1.3020886","-0.2628648","0.014369793","-1.7240076","0.36206305","-0.91203177","-2.3673902","1.7570584","-0.7681797","-0.09734493","0.8272413","0.3767506","-1.928493","2.6233854","2.6817844","-1.6144992","-0.65503144","0.4470601","-0.7351724","-0.4034827","0.29190412","0.7589762","-0.22699143","0.9253257","0.25782838","-1.788129","1.2787617","0.83918643","2.9784577","-0.7443041","3.3937566","-1.8909152","4.1706343","3.9206212","1.1196169","3.8525858","-2.9428673","0.48803255","1.3491063","2.459872","-0.8498168","0.65202206","2.1814356","-0.17614174","-1.5270072","-3.450957","3.4401355","-1.226262","-1.2383641","3.1355686","2.4350462","-0.4727315"
"Acidaminococcus","-0.33907688","-0.5688339","0.25310642","0.6734658","0.19702144","-0.85662353","0.26224753","0.060549825","-0.110579215","-0.40230352","1.5668492","0.14842315","-0.54663736","-0.64536756","-0.4198968","-1.2758322","0.37835366","2.4611566","-0.32528073","-0.03626879","-0.009278967","-0.72240585","-1.2518343","-0.15894854","1.1147927","-2.204148","-1.5677706","1.0177903","-0.60206944","-1.2031928","0.90258664","0.85659736","-1.6891099","0.19488564","0.09435611","-6.0332503","-0.1247648","-0.16956955","2.3394659","0.037175115","-2.3827925","-1.7360252","4.2707114","0.11518756","-1.7502347","-1.2976788","5.2090225","1.6936578","-0.96506244","0.13107659","2.1911116","0.8835112","-0.22113782","-0.15667768","-4.1550007","2.7201796","3.4725556","-0.10116943","3.8930547","-3.2754416","-1.2684971","6.558301","0.62109053","-2.8192453"
"Acidaminococcus fermentans","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acidimicrobiales","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acidiphilium","1.8518505","0.18792443","0.5015474","-0.20498273","-0.30519307","-0.035231877","0.39783052","1.3268446","0.10875467","0.13107045","-0.96036655","0.0359834","-0.29854164","0.3811419","-0.075949594","0.41846994","-1.0905702","0.3748656","-0.30417663","-0.10468336","0.038737293","0.45458665","1.1999054","-0.87667346","0.6150042","0.43237206","0.12522063","0.11973799","-0.07352211","-0.0296825","0.029367814","-1.1712741","-0.19498816","-0.019411325","-2.1385303","-0.3701736","-0.7551612","0.014817373","-3.2793183","-0.27576116","1.4611328","-0.6949788","-2.4506044","0.37126216","0.47647545","-1.149131","0.44578943","0.9827328","-4.509117","-1.4777884","3.241044","-2.948947","-4.150385","3.0639594","-3.8422887","-0.1769963","4.463159","0.3191405","-2.0481985","-4.0777264","-0.3919428","-1.1715903","2.3013344","-2.0589676"
"Aciditerrimonas","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acidobacteria","0.114354245","-1.0097127","-0.44532257","-0.0358875","-0.16061069","0.00845616","-0.58973825","-0.12047628","0.8487625","-0.2149448","0.15433896","-2.6108148","-0.34983814","0.6650741","-0.6843338","-0.07463664","-0.7677867","0.36505505","-0.34321684","-0.32174158","-0.454652","-0.1501761","2.1924992","3.5782776","-2.9335902","1.1300571","-2.3440075","3.555715","0.18075567","-0.33867964","1.3383895","-1.8943207","-0.2429168","-2.657146","-0.70983183","-1.0517274","0.33806518","-0.1896318","2.4020927","1.0753907","0.3352943","2.2232456","-0.8616231","3.9305682","1.3392454","-0.8269582","-4.241116","3.3566284","-1.3732197","1.6980851","-1.7547898","-1.5138307","-2.1474848","-1.3274693","-0.32050854","1.9326345","-0.978403","1.4976689","0.2779065","1.1919706","0.8961853","0.33061734","-0.8901669","-0.11250767"
"Acidobacteriaceae","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acidocella","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acidovorax","0.029697444","0.48868024","1.5988644","-0.056950387","0.49365303","0.068143845","-0.45149425","-0.9453815","-0.2980445","-0.32758707","1.0206107","-1.0473936","0.6950073","-1.6671389","2.843918","2.8187404","1.2502953","-0.64895487","-1.5851711","-3.5521533","-0.44746834","0.38933685","0.6960878","-0.098692656","-0.16130538","0.35842746","0.14340064","-0.16788597","-0.87334776","0.1762978","-0.23487289","-0.09214976","-1.2739272","2.6194026","0.13269982","0.0827338","0.11284932","0.60983366","-6.097135","-3.23557","-5.962772","0.07385543","-3.5978453","-1.3930511","0.015133606","4.8496165","4.733305","-0.85254085","3.651563","3.626168","-0.59165585","2.9817414","-5.286455","-0.43163946","-2.9924326","-0.16095802","1.3048364","-4.921009","0.56335276","4.104337","2.008966","-0.23994642","-4.0836844","0.60740894"
"Acinetobacter","-0.60938925","0.013550712","0.08398094","0.08692701","0.07948185","0.12766604","-0.04521188","0.0018152887","0.14655598","-0.062201027","0.018212395","-0.1404089","-0.09624574","-0.09474383","0.18843411","0.20767206","0.12584911","0.12615289","-0.1880049","-0.23507918","0.15628001","0.0061062695","-0.07638073","-0.49650222","-0.25462922","-0.07937614","-0.11318612","-0.3459249","-0.040425893","0.17234915","-0.182215","-0.21849467","0.07874972","0.13153376","0.13020256","-0.2806639","-0.04965689","-0.03765827","-0.6839664","-0.53478396","-1.1447457","0.5497468","-0.14030653","0.51308143","0.8316374","0.5113538","0.96797365","-0.0022123093","0.21213397","0.31441453","-0.12732425","0.90852004","-1.6671817","-0.5059642","0.23347233","0.47951877","1.0100266","-0.5078363","0.3689366","0.3853397","1.5434796","-0.6628015","-1.5304537","0.35857457"
"Acinetobacter antiviralis","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acinetobacter baumannii","0.6623581","1.7641582","1.2073103","-0.20012128","-0.3130465","-0.020075053","-2.139356","-0.87954473","1.8288418","-0.38251656","0.05357453","-5.212515","1.464365","0.28131795","-1.9724381","0.42529875","-1.6389729","1.6677194","3.4276834","6.8969707","0.45717716","0.039682038","-0.47931388","0.33307713","0.44586957","-0.47522163","0.29566562","-0.120601125","-0.1607649","0.27963352","-0.6635356","-1.0301387","-0.23652005","-1.8831241","1.1835107","-1.1101131","-0.76633614","0.27898887","0.7900934","-0.88614666","1.0147871","-0.6766838","-2.8974712","2.3214226","2.3313208","-0.8476036","4.6318455","-2.3861086","-2.4258695","-2.247156","-0.88058484","4.747526","0.8503547","2.635747","2.8246627","-2.3937092","-1.3419882","-1.8056296","-0.24930982","-0.8451229","-1.2531291","-0.032865375","0.9150747","-2.7569056"
"Acinetobacter calcoaceticus","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acinetobacter gerneri","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acinetobacter guillouiae","-0.6484863","-0.015478541","-6.9346905e-05","-0.011373643","-0.028520038","0.0002914607","0.007846146","0.07335012","-0.02251712","0.012538642","-0.023003055","0.00921737","-0.040065646","0.033646263","-0.014580617","0.03822976","-0.058655","-0.02382537","0.0053860703","-0.009542235","-0.024634497","0.021115376","0.087519236","-0.024349974","0.050247453","-0.009594442","0.017315688","-0.055664044","0.0015143268","0.010709903","0.022988202","-0.07744179","-0.020486357","-0.0071166256","-0.07060417","0.016036129","-0.0072651017","-0.009461269","-0.0096593695","-0.03594281","0.00031572644","-0.017422734","-0.007806938","-0.01511657","-0.04197113","-0.03468884","-0.035285417","-0.04699964","-0.022773502","-0.012469804","0.03350241","-0.032523967","0.045200285","-0.039603487","-0.03447357","-0.020214014","-0.00820415","0.009259522","-0.020110207","-0.016812304","-0.0002650734","0.0113412645","0.008296061","-0.019175097"
"Acinetobacter johnsonii","1.8605522","3.460115","2.3229804","-0.21414968","-0.661719","-0.1786466","-4.1946573","-0.8444085","-0.33997434","-0.60693246","0.8409608","-0.96608496","1.0636674","0.5128439","-0.74103254","0.96470344","0.27399126","0.0496598","-0.24193056","-0.8807023","0.22030419","0.50833994","0.50158477","0.57013476","0.60191137","-0.9155647","0.22388059","-0.38519594","-0.33154243","0.04207887","-0.5213495","0.395827","-1.1047347","-0.6498248","-0.7298448","0.25892025","-0.20276842","0.5513849","-0.079881854","-0.22092918","0.6226594","-0.327182","-0.064117014","-0.6654181","-0.94056714","-0.9640586","0.1464851","-0.37203294","-0.5692726","-0.7800865","0.16036488","0.033686552","0.57911825","-0.30746606","-0.78122133","-0.4711627","0.02646527","0.3325727","0.07738573","-0.18394418","0.27584773","0.009708971","0.0040134564","-0.2902642"
