"disease","disease_disbiome_author_svd64_000","disease_disbiome_author_svd64_001","disease_disbiome_author_svd64_002","disease_disbiome_author_svd64_003","disease_disbiome_author_svd64_004","disease_disbiome_author_svd64_005","disease_disbiome_author_svd64_006","disease_disbiome_author_svd64_007","disease_disbiome_author_svd64_008","disease_disbiome_author_svd64_009","disease_disbiome_author_svd64_010","disease_disbiome_author_svd64_011","disease_disbiome_author_svd64_012","disease_disbiome_author_svd64_013","disease_disbiome_author_svd64_014","disease_disbiome_author_svd64_015","disease_disbiome_author_svd64_016","disease_disbiome_author_svd64_017","disease_disbiome_author_svd64_018","disease_disbiome_author_svd64_019","disease_disbiome_author_svd64_020","disease_disbiome_author_svd64_021","disease_disbiome_author_svd64_022","disease_disbiome_author_svd64_023","disease_disbiome_author_svd64_024","disease_disbiome_author_svd64_025","disease_disbiome_author_svd64_026","disease_disbiome_author_svd64_027","disease_disbiome_author_svd64_028","disease_disbiome_author_svd64_029","disease_disbiome_author_svd64_030","disease_disbiome_author_svd64_031","disease_disbiome_author_svd64_032","disease_disbiome_author_svd64_033","disease_disbiome_author_svd64_034","disease_disbiome_author_svd64_035","disease_disbiome_author_svd64_036","disease_disbiome_author_svd64_037","disease_disbiome_author_svd64_038","disease_disbiome_author_svd64_039","disease_disbiome_author_svd64_040","disease_disbiome_author_svd64_041","disease_disbiome_author_svd64_042","disease_disbiome_author_svd64_043","disease_disbiome_author_svd64_044","disease_disbiome_author_svd64_045","disease_disbiome_author_svd64_046","disease_disbiome_author_svd64_047","disease_disbiome_author_svd64_048","disease_disbiome_author_svd64_049","disease_disbiome_author_svd64_050","disease_disbiome_author_svd64_051","disease_disbiome_author_svd64_052","disease_disbiome_author_svd64_053","disease_disbiome_author_svd64_054","disease_disbiome_author_svd64_055","disease_disbiome_author_svd64_056","disease_disbiome_author_svd64_057","disease_disbiome_author_svd64_058","disease_disbiome_author_svd64_059","disease_disbiome_author_svd64_060","disease_disbiome_author_svd64_061","disease_disbiome_author_svd64_062","disease_disbiome_author_svd64_063"
"Adolescent idiopathic scoliosis","1.303281","-0.209766","-0.06982376","-0.009530276","0.012752731","0.020955414","-0.06015573","-0.094527625","0.014858353","-0.092866264","-0.11490979","-0.1013746","-0.0030418194","0.06895761","-0.081273064","0.3250831","-0.03961127","0.24162552","-1.0187123","0.018974254","-1.6619742","0.69728154","-0.6438906","-0.51559156","-0.9732479","-1.0410378","0.6599821","0.65228474","0.81176186","-0.22613175","-0.3273413","0.29061145","1.2950246","1.7318618","-0.32703394","-0.34451348","-0.950054","-0.65749407","-1.1476176","-1.139991","-1.2263331","1.2236394","-0.83884424","-0.20224921","1.5374333","0.119171076","-0.81303275","-0.6918867","-1.362249","-1.5275706","1.3251303","-0.23949622","-0.34235936","-1.1472923","0.9463449","-0.5124235","1.8494922","-1.8566611","-1.4325956","-0.078525335","-1.8058178","-0.13345273","0.57260495","-1.116173"
"Aerobic vaginitis","0.7025397","0.028417397","-0.0032764487","-0.026716478","-0.043050047","0.05457992","0.05673816","-0.006134709","0.03206049","0.07740888","0.0011153865","-0.13604671","0.06494092","-0.10868127","-0.0017310191","-0.035373554","0.6659528","0.013957463","0.81563824","-0.4604791","1.847939","-1.1865299","2.962025","1.1926808","-1.7890706","-2.0637002","-5.158698","-1.4498652","-1.2767248","-1.775318","6.5079226","6.8546624","6.826002","0.17779908","1.494208","0.525053","5.446842","0.65885186","7.479502","0.11500886","2.1810641","-3.9332504","2.1380126","2.2739577","1.1973358","-0.56658643","-3.3730235","1.9267622","0.1943968","-0.013259675","0.58053005","0.82686275","-0.61504436","-0.5868576","1.3278611","0.28345075","1.1642061","-0.029185437","-0.4101911","0.20728493","-0.32042432","-0.14850268","0.21944527","0.86850274"
"Aggressive periodontitis","0.4395026","0.21615545","0.16462635","-0.11931075","0.08101972","0.009023896","0.23000965","1.1726481","0.48206526","-0.13048916","0.0031005598","0.24114223","-0.027068112","0.7994762","0.6664251","0.4533338","-0.10582561","0.45189938","2.261868","5.033702","20.09639","-11.488775","-0.40250468","2.377252","-1.4876349","0.948045","1.5851499","-0.32303765","-0.27642906","-0.19085146","-0.011010748","-1.0611224","0.35174754","-0.24230677","-0.14406966","-0.2499563","-0.8483127","-1.7637415","-0.8248288","-0.17221428","0.85781926","0.09075268","0.060844213","-0.5736828","0.15437154","-0.9710284","-0.26951307","0.15940788","-0.44234228","-0.65154153","-0.078334846","-0.0034658464","0.009254985","0.6859915","-0.26904553","-0.4261773","0.15413165","0.42833477","-0.21924958","-0.088161536","0.12649328","-0.14646551","-0.14903563","0.04167579"
"Alcoholic Liver Disease","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Alcoholic cirrhosis","1.2681564","-0.2108387","-0.035414718","0.011444581","-0.014518661","-0.044995792","-0.11195791","-0.11877455","0.025276974","-0.06949214","-0.0015592863","0.07031961","0.36477995","0.01565616","-0.136575","-0.08851697","-0.21635605","-0.29862094","-0.68229973","0.7964314","0.68949014","1.7768912","-0.044982936","-1.6461854","-0.051202502","-0.10779691","-1.106466","0.22198924","0.2188424","0.9319664","-0.21864092","-2.355098","1.201689","-1.3239778","-0.5305796","1.0989465","-0.9342094","-2.2106383","0.57160664","-0.30898783","-0.6855594","-1.0353457","0.4070567","1.9142253","-1.7316222","1.0561982","2.0698037","1.0810014","-2.8471594","0.25627336","-2.895302","-1.4080187","0.3724864","2.7067556","1.7800636","-2.1522002","-0.03691112","3.2310936","-0.53358006","0.6020193","0.9350556","-0.70412266","-0.08692227","0.9571573"
"Alcoholic hepatitis","1.0740644","-0.094181746","0.03574038","0.012310262","0.027070392","-0.008228458","-0.07814254","-0.053760212","-0.056737818","0.0017249332","0.006881465","0.05693875","0.20965202","-0.008980293","0.19600962","0.088484965","-0.620635","0.33395967","0.25426218","1.2245291","-0.9648857","0.3224731","1.1457051","-1.1277633","0.60506487","-2.2330935","-1.3359382","1.5695261","-1.365721","1.545201","1.6672478","-2.0402865","-0.16732852","-0.04112298","-0.014569568","-1.3317907","1.7727193","-0.74025077","0.41931614","2.1498997","-1.1394365","-0.39206713","-1.8044318","0.98159635","0.99289846","0.5405517","2.893118","4.1326203","-1.0737141","-0.19755423","-2.146792","1.4470593","-0.6754625","1.2450186","-1.230536","1.4218861","1.5078578","2.4379668","-2.5784538","1.2056627","-3.130804","-2.0605924","1.4679213","2.1897724"
"Alcoholism","0.47090816","0.1337312","0.16322806","0.10822996","-0.010953647","0.017474592","0.05874751","0.03215392","-0.021139408","0.086285144","0.15177786","0.60935545","0.030051455","0.7881186","0.019450169","0.6984222","-0.40557784","0.8742909","0.7900698","-0.9635173","0.30435866","2.5833843","3.0320294","0.08242309","8.764784","-6.36354","-3.0433936","0.63665044","5.002194","-0.038710713","3.2184625","-2.4137974","-4.357252","-3.3591726","7.3065267","2.196659","1.5194799","-4.1930637","0.7883629","2.0768757","-0.20142716","2.386506","-0.0056294035","1.3480479","0.71935564","0.36752304","-2.2481494","-0.13371797","0.4869268","-1.9842981","-0.053615134","-0.1399933","0.28967887","1.3895546","0.3461505","-1.3276875","0.29028374","-0.46595696","0.21816152","0.24496223","0.21855901","0.6426053","0.51515484","-0.16102605"
"Allergic asthma","1.2803495","-0.18534134","-0.07331556","-0.0040248446","-0.012156741","0.009206525","-0.06356878","-0.13596167","-0.037982732","-0.04438599","0.13787508","-0.1344518","-0.06374531","-0.016613567","0.080263235","0.62031376","-0.06559431","-0.022159468","-0.19522534","-0.621892","0.3826897","1.5649718","-0.8848102","1.1774964","1.6005055","1.5097448","-0.82186306","-0.5005757","2.5257347","0.36702818","-2.354668","1.1792917","1.993276","1.0143247","-0.92278993","-1.2160974","0.86514264","-0.036593504","0.68901503","0.7680465","1.0944499","0.46353847","0.5537515","0.7961212","-0.19407575","1.9290234","-2.5625615","1.2460873","0.8389243","-0.72910744","0.5452967","2.2745292","-2.2822595","0.9157185","-1.8766357","1.4246612","1.0890734","-1.9966271","-0.30878654","-0.28322047","1.6673359","-0.08618013","2.2144024","-0.23229155"
"Allergic rhinoconjunctivitis","1.351084","-0.23507753","0.014754048","-0.06483479","-0.023256492","0.015843319","-0.10410567","0.1982001","-0.009103614","-0.07468734","-0.033204455","-0.18515196","-0.23175545","-0.0009527205","0.038755327","-0.07926751","-0.060544606","-0.07778192","0.018321581","-0.27604148","-0.33972433","-1.0061466","-1.1443686","0.65907353","-0.878779","0.6091718","0.39941925","-1.3174788","1.8371682","0.30344474","0.6173472","-1.4566114","-0.21670182","-0.91907686","0.28562245","0.54436976","1.8641535","0.30245647","2.696601","-0.5716291","-1.5003431","0.42281237","4.4126024","-0.07990428","1.4186002","0.48908448","-0.37502003","1.6488383","-0.054915648","0.24170765","0.0027712837","1.1003952","-0.4181799","-1.8074318","-0.4720886","-0.32566378","1.6799816","0.4916904","1.721832","-0.68720096","-1.0464565","0.19455402","-0.87733597","-2.4536612"
"Allergic sensitization","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Allergy","0.8553124","-0.2845309","-0.078538224","0.032426555","0.0048074247","-0.023487449","-0.10349865","-0.07291982","-0.09623571","-0.16554679","0.020338373","-0.00072642934","0.03179322","-0.08356747","0.05847437","-0.13998039","-0.28768608","0.058081787","-0.1919716","-0.63304794","0.590256","-0.54256886","-1.0770211","-0.3675355","-0.5377382","-0.8617469","-0.408513","0.80997884","-0.07730614","-2.3687108","-2.7270234","0.09842376","0.5063566","-0.4943294","-0.8006551","0.60487914","-1.4662751","-0.037487995","-1.3761865","-0.46656743","-0.6724204","-0.8451858","-0.4919732","2.0654392","1.9520148","-0.8823218","-1.2049161","-1.3133974","1.975749","-2.4751806","-0.32727888","-1.59716","-3.6925466","-4.0215316","2.3255126","2.1835198","2.9749286","-1.9867461","1.557863","2.3737338","3.0287898","1.0584354","-1.2266762","-1.2429004"
"Alopecia areata","1.3012602","-0.1655964","-0.08274647","0.004026247","0.014478195","-0.026772566","-0.043275002","-0.082523815","-0.06521176","-0.09468671","-0.033007555","-0.1349556","-0.10556592","-0.04489788","0.059775326","0.13696826","0.15820755","-0.27067885","-0.3228871","-0.335656","-0.37180716","-1.7766035","-0.24483305","0.116188176","-1.7820575","1.695839","0.605465","-0.8257318","-0.667874","-0.16442172","0.9380934","-2.5577173","0.6134334","-0.82771325","0.32841852","1.4644269","-1.7283336","0.68459445","1.1800164","0.10447151","-1.1317487","2.2496936","0.06353611","-0.08610661","-1.6913238","-2.2466872","-1.6366137","2.1489577","-1.5081646","-2.5974479","-0.3549971","2.7386096","-1.7586316","-0.9998818","3.362038","-1.4969229","1.1459405","2.8233922","0.8503471","0.9049171","-0.47431472","-0.7686863","-1.3879346","-1.751733"
"Alopecia universalis","1.3164827","-0.2054683","-0.037543572","-0.027097858","0.005781727","-0.010463744","-0.081804305","-0.08776341","-0.000322572","-0.053725544","0.016749106","-0.17895767","-0.14796612","-0.081212245","-0.31293604","0.04289361","0.2313839","0.018505247","0.3027234","-0.08604937","0.8776612","0.824984","-1.1119375","-0.48390883","0.68274546","0.21261784","-1.6792426","-1.0210285","0.18919866","-2.1362069","1.0041728","-0.9745856","-0.60262215","1.396774","-1.2992662","1.1389776","-2.628475","-1.2428093","2.3094218","0.45496368","0.009229134","0.4994611","-0.3185878","-1.0876651","-1.1779698","-3.42571","2.0864048","-1.6963403","1.4564934","0.24235788","1.3124925","-0.363789","-0.41259307","1.4985977","0.45225307","1.5188956","-0.2703918","-1.2875087","-0.7750708","1.750561","-1.1695645","0.2890993","-0.24033384","-3.5576236"
"Alzheimer disease","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
"Alzheimer's Disease","0.91387045","0.0035893214","0.18076663","0.30469862","-0.0095605375","0.0031994928","-0.031154051","-0.06457903","0.03196536","-0.05531706","0.0009089583","0.22448638","-0.08885336","0.30361906","0.0010755447","0.10691131","0.08497186","1.3079302","0.019697206","-0.5055669","-0.92955697","1.3408686","0.15857646","1.9174062","2.2410743","0.113140345","-0.21891041","0.41675866","0.41772485","0.02520552","-0.22013718","0.5294705","-0.15327017","-0.2651634","-1.2424233","1.4680983","-0.1559743","0.30740023","-3.1696687","1.3644255","1.5389073","-1.7945815","2.6548102","-0.15441124","-2.116955","0.8097659","-0.8923842","-0.92511576","-1.5859259","1.7447009","-0.7538239","-0.96122414","-1.5181961","3.4268723","1.6228572","0.1768197","-0.47227946","2.8604212","1.0132934","1.3137448","-1.0376981","-1.2603322","0.43570995","1.3673327"
"Alzheimer's disease","-0.8610144","-0.06204689","-0.022810645","0.0020611463","-0.0009565658","-0.00045902724","-0.018918822","-0.025630439","-0.0039312975","-0.018969087","-0.016530914","-0.035641547","-0.007943889","-0.0072050034","-0.013963499","-0.020377705","-0.010373334","-0.010835765","-0.016133092","-0.011339596","-0.011538723","-0.0045860168","-0.023036573","-0.014183245","-0.003153893","0.010902799","-0.006406742","-0.01712594","0.0009230043","-0.0017532083","-0.014034494","-0.0038970762","-0.009691642","0.00065829273","0.0020159772","-0.0066735","-0.0004295523","-0.0039763018","0.0055414047","0.0031142994","0.00020551936","-0.0045593185","0.00019011392","-0.0040777926","-0.0021466732","-0.0045848354","0.0016202849","-0.003749743","0.0003040471","-0.0030011972","0.00045753678","0.0034179133","-0.00023160408","-8.856923e-05","0.0009927604","-0.00262229","-0.0008311592","-0.0019204128","0.001693831","-0.0009724535","-0.0026840903","-0.0013402244","-0.0023038934","-0.000955738"
